WorkerId,item,construction,theme_length,theme_definiteness,recip_length,recip_definiteness,acceptability,sentence
1,3,do,long,definite,short,definite,4,The mailman delivered the professor the package that contained a book.
2,10,po,short,definite,short,definite,5,The caterer brought the meal to the man.
3,9,po,short,indefinite,short,indefinite,4,The spy told a secret to an agent.
4,8,po,short,definite,long,definite,4,The child kicked the ball to the playmate who was several feet away.
5,0,do,short,definite,long,definite,4,The man gave the woman who enjoyed birdwatching the book.
6,5,do,long,definite,short,definite,4,The doctor handed the nurse the form that contained patient information.
7,11,po,long,indefinite,short,definite,4,The nurse mailed the report that was about the test results to a patient.
8,14,do,short,definite,short,definite,4,The teacher taught the student the song.
9,14,do,long,definite,short,indefinite,5,The teacher taught the student a song that was very catchy.
10,12,po,short,indefinite,short,indefinite,5,The librarian loaned a novel to a retiree.
11,4,po,long,definite,short,indefinite,5,The lawyer sent a message that contained confidential information to the client.
12,6,po,long,definite,long,indefinite,4,The professor granted an extension that was rarely allowed to the student who suffered from a rare illness.
13,1,do,long,indefinite,long,indefinite,4,The waiter handed a customer who was sitting at the table a cup that was full of water.
14,12,do,long,indefinite,short,indefinite,4,The librarian loaned a retiree a novel that was about the future.
15,12,do,long,indefinite,short,definite,4,The librarian loaned a retiree the novel that was about the future.
16,5,do,short,indefinite,long,definite,5,The doctor handed a nurse who was standing in the hallway the form.
17,1,po,short,indefinite,long,definite,4,The waiter handed the cup to a customer who was sitting at the table.
18,13,po,short,indefinite,long,indefinite,4,The boss offered a raise to an employee who had been working for many years.
19,1,po,long,indefinite,short,indefinite,4,The waiter handed a cup that was full of water to a customer.
20,0,po,long,definite,short,definite,3,The man gave the book that was about birds to the woman.
21,11,po,long,definite,short,definite,3,The nurse mailed the report that was about the test results to the patient.
22,9,po,short,definite,short,definite,5,The spy told the secret to the agent.
23,0,do,long,definite,short,definite,4,The man gave the woman the book that was about birds.
1,1,po,short,definite,short,definite,5,The waiter handed the cup to the customer.
2,5,do,long,definite,short,indefinite,4,The doctor handed the nurse a form that contained patient information.
3,4,po,short,definite,short,definite,5,The lawyer sent the message to the client.
4,7,po,long,indefinite,short,indefinite,5,The student showed a report that she had written for a class to a classmate.
5,5,po,long,definite,short,indefinite,3,The doctor handed a form that contained patient information to the nurse.
24,0,po,short,indefinite,short,definite,3,The man gave the book to a woman.
6,11,po,short,definite,short,definite,5,The nurse mailed the report to the patient.
7,4,po,short,indefinite,long,indefinite,5,The lawyer sent a message to a client who was awaiting trial.
25,8,po,short,indefinite,short,definite,5,The child kicked the ball to a playmate.
8,12,do,short,definite,long,definite,2,The librarian loaned the retiree who was looking for reading material the novel.
26,15,do,long,indefinite,long,indefinite,4,The salesman sold a teenager who had come into some money a car that had a lot of miles.
27,3,po,short,indefinite,long,definite,5,The mailman delivered the package to a professor who lived in an apartment.
13,4,do,short,indefinite,short,definite,5,The lawyer sent a client the message.
