WorkerId,item,construction,possessor_definiteness,possessor_length,acceptability,sentence
1,4,of,def,long,5,I watched the screen of the television that was very large.
2,3,s,indef,long,1,I met a man who worked at the store's wife.
3,14,of,indef,long,2,I hated the manager of a store that was around the corner.
4,7,of,def,long,3,I knew the patient of the doctor who worked in the hospital.
5,11,of,indef,long,3,I encountered the lawyer of a client who was guilty of a crime.
6,12,s,indef,short,4,I smelled a tree's flowers.
7,1,of,indef,long,5,I remembered the face of a professor who I met two days ago.
8,11,s,indef,short,5,I encountered a client's lawyer.
9,0,of,indef,short,3,I forgot the title of a movie.
10,10,of,indef,long,3,I yelled at the owner of a boat that crashed into the pier.
11,11,s,def,long,1,I encountered the client who was guilty of a crime's lawyer.
12,6,of,indef,short,3,I saw the driver of a car.
13,5,s,def,long,4,I got the celebrity who was in a lot of movies's autograph.
14,1,s,def,short,5,I remembered the professor's face.
15,1,of,def,short,5,I remembered the face of the professor.
16,1,s,indef,short,5,I remembered a professor's face.
17,0,s,indef,short,5,I forgot a movie's title.
18,0,s,indef,short,5,I forgot a movie's title.
19,5,s,indef,short,5,I got a celebrity's autograph.
20,13,s,indef,long,4,I took a child who was in first grade's toy.
21,0,of,indef,short,5,I forgot the title of a movie.
22,6,of,indef,long,5,I saw the driver of a car that was speeding down the street.
23,2,of,indef,long,5,I know the president of a university that is in Maryland.
24,7,of,def,long,4,I knew the patient of the doctor who worked in the hospital.
1,14,s,def,long,1,I hated the store that was around the corner's manager.
2,12,of,def,short,2,I smelled the flowers of the tree.
25,5,of,def,long,5,I got the autograph of the celebrity who was in a lot of movies.
3,9,of,indef,short,5,I read the book of a lawyer.
4,2,of,indef,short,5,I know the president of a university.
5,0,s,indef,short,3,I forgot a movie's title.
6,8,of,def,short,5,I opened the door of the cabin.
7,11,s,def,long,1,I encountered the client who was guilty of a crime's lawyer.
8,14,of,indef,long,5,I hated the manager of a store that was around the corner.
9,4,s,def,short,5,I watched the television's screen.
11,8,s,indef,short,3,I opened a cabin's door.
12,13,s,def,long,2,I took the child who was in first grade's toy.
13,9,of,def,long,4,I read the book of the lawyer who was from France.
26,13,s,def,short,5,I took the child's toy.
14,2,s,def,long,1,I know the university that is in Maryland's president.
27,7,of,def,long,5,I knew the patient of the doctor who worked in the hospital.
15,15,s,indef,short,5,I loved a policeman's sister.
16,4,of,def,long,4,I watched the screen of the television that was very large.
17,7,s,def,long,2,I knew the doctor who worked in the hospital's patient.
20,1,of,indef,long,5,I remembered the face of a professor who I met two days ago.
21,2,of,indef,short,5,I know the president of a university.
28,7,s,def,short,5,I knew the doctor's patient.
23,15,of,def,short,5,I loved the sister of the policeman.
1,5,of,def,short,5,I got the autograph of the celebrity.
25,2,s,def,short,4,I know the university's president.
3,5,s,indef,short,5,I got a celebrity's autograph.
5,7,s,def,long,1,I knew the doctor who worked in the hospital's patient.
6,14,of,def,short,5,I hated the manager of the store.
7,12,s,def,short,4,I smelled the tree's flowers.
11,4,of,indef,short,4,I watched the screen of a television.
12,1,of,def,long,5,I remembered the face of the professor who I met two days ago.
29,1,s,def,short,5,I remembered the professor's face.
13,0,of,def,short,5,I forgot the title of the movie.
4,6,s,indef,short,3,I saw a car's driver.
15,11,of,indef,short,5,I encountered the lawyer of a client.
17,9,s,indef,long,3,I read a lawyer who was from France's book.
23,11,s,def,short,5,I encountered the client's lawyer.
24,6,s,indef,short,2,I saw a car's driver.
30,4,s,def,long,1,I watched the television that was very large's screen.
3,11,s,indef,short,4,I encountered a client's lawyer.
5,12,of,indef,short,3,I smelled the flowers of a tree.
6,3,s,def,long,2,I met the man who worked at the store's wife.
7,4,of,indef,short,3,I watched the screen of a television.
9,14,of,def,short,4,I hated the manager of the store.
11,1,of,indef,long,5,I remembered the face of a professor who I met two days ago.
12,4,of,def,short,5,I watched the screen of the television.
29,11,s,indef,short,3,I encountered a client's lawyer.
17,8,s,def,short,5,I opened the cabin's door.
31,11,s,def,short,5,I encountered the client's lawyer.
18,14,s,def,short,5,I hated the store's manager.
32,9,of,def,short,4,I read the book of the lawyer.
23,8,of,def,long,5,I opened the door of the cabin that was in the woods.
1,6,of,indef,long,5,I saw the driver of a car that was speeding down the street.
3,6,of,def,long,4,I saw the driver of the car that was speeding down the street.
4,5,s,indef,long,2,I got a celebrity who was in a lot of movies's autograph.
6,1,s,def,long,3,I remembered the professor who I met two days ago's face.
9,10,s,def,short,5,I yelled at the boat's owner.
11,0,of,def,short,5,I forgot the title of the movie.
15,10,of,indef,long,2,I yelled at the owner of a boat that crashed into the pier.
16,0,s,indef,long,3,I forgot a movie that I saw yesterday's title.
33,6,s,indef,long,1,I saw a car that was speeding down the street's driver.
7,6,s,def,short,4,I saw the car's driver.
17,14,s,def,short,5,I hated the store's manager.
10,12,s,def,long,2,I smelled the tree that was in the woods's flowers.
34,13,s,def,long,3,I took the child who was in first grade's toy.
