WorkerId,item,shifted,verb_bias,length,acceptability,sentence
1,19,shifted,nps,long,4,The woman disclosed in August the birth and school records of the three young children.
2,14,shifted,nps,long,4,The president announced on Monday the new vice chair of the first corporate finance group.
3,14,unshifted,np,long,4,The president introduced the new vice chair of the first corporate finance group on Monday.
4,21,shifted,np,short,1,Jessica furnished last summer the news.
5,19,unshifted,nps,short,5,The woman disclosed the records in August.
6,2,unshifted,nps,long,4,Mary mentioned the used car ad for a Chevrolet with low mileage at tea.
7,17,unshifted,nps,short,3,Todd suggested some gifts at once.
8,4,unshifted,nps,short,5,The dealer demonstrated a car at ten.
9,12,unshifted,nps,short,5,The lawyer acknowledged the dividends with confidence.
10,8,shifted,np,long,4,Jake released on Friday all of the facts for the import and export taxes.
11,27,unshifted,np,short,5,Bobby transferred the deeds at dusk.
12,2,unshifted,nps,long,5,Mary mentioned the used car ad for a Chevrolet with low mileage at tea.
13,15,unshifted,nps,long,4,The teacher announced some hard math concepts for the one hundred point final with care.
14,15,shifted,np,long,5,The teacher introduced with care some hard math concepts for the one hundred point final.
15,20,unshifted,nps,short,4,David reported the facts with hesitation.
16,29,unshifted,np,short,5,Mike recited the words last year.
17,5,unshifted,np,long,4,The manager transported the new sports line of running shoes and bicycling gear at three.
18,24,shifted,np,short,3,Sam donated on Sunday a treasure.
19,7,unshifted,nps,short,4,Donald proposed some drafts with joy.
20,27,shifted,np,short,3,Bobby transferred at dusk the deeds.
21,12,unshifted,nps,short,4,The lawyer acknowledged the dividends with confidence.
22,14,shifted,np,long,3,The president introduced on Monday the new vice chair of the first corporate finance group.
23,11,unshifted,np,short,5,The woman described the route by phone.
24,15,unshifted,nps,long,1,The teacher announced some hard math concepts for the one hundred point final with care.
25,16,unshifted,nps,short,2,Judy suggested a dress in March.
26,5,shifted,nps,short,1,The manager demonstrated at three the sports gear.
27,22,unshifted,np,short,2,Steven addressed a letter during break.
28,15,unshifted,nps,long,3,The teacher announced some hard math concepts for the one hundred point final with care.
29,6,unshifted,np,short,4,Robert relinquished one plane ticket last semester.
30,19,unshifted,nps,long,4,The woman disclosed the birth and school records of the three young children in August.
1,23,unshifted,nps,short,3,Raymond communicated a memo very loudly.
2,31,unshifted,np,short,4,Jason forfeited the race with glee.
3,30,unshifted,nps,long,2,Amy broadcast the high school girls state swimming title in New York last week.
4,24,unshifted,nps,short,3,Sam recommended a treasure on Sunday.
5,0,shifted,np,short,1,The manager presented at noon the styles.
6,12,unshifted,nps,long,5,The lawyer acknowledged each piece of the evidence in the tax fraud cases with confidence.
7,30,shifted,nps,short,2,Amy broadcast last week the game.
9,15,shifted,nps,long,5,The teacher announced with care some hard math concepts for the one hundred point final.
10,24,unshifted,nps,long,5,Sam recommended an old treasure chest with some silver and gold trinkets on Sunday.
11,24,shifted,nps,long,2,Sam recommended on Sunday an old treasure chest with some silver and gold trinkets.
12,6,unshifted,nps,long,3,Robert proposed one round trip plane ticket from New York to Atlanta last semester.
13,12,shifted,np,long,5,The lawyer distributed with confidence each piece of the evidence in the tax fraud cases.
14,6,unshifted,np,short,5,Robert relinquished one plane ticket last semester.
31,2,shifted,np,short,1,Mary returned at tea the ads.
15,7,unshifted,nps,short,3,Donald proposed some drafts with joy.
32,20,shifted,nps,short,2,David reported with hesitation the facts.
17,28,unshifted,nps,long,5,Kathy dictated all three verses from an old and famous French poem last night.
18,2,unshifted,nps,short,2,Mary mentioned the ads at tea.
19,19,unshifted,np,short,2,The woman carried the records in August.
20,13,unshifted,np,short,5,The editor distributed the details at supper.
21,31,shifted,np,short,1,Jason forfeited with glee the race.
33,21,unshifted,nps,long,3,Jessica reported the awful news of the refugees in the Far East last summer.
34,23,unshifted,np,short,4,Raymond addressed a memo very loudly.
25,29,unshifted,np,short,3,Mike recited the words last year.
26,29,unshifted,np,long,4,Mike recited the words to a popular country song in the South last year.
35,7,unshifted,nps,short,3,Donald proposed some drafts with joy.
27,19,unshifted,np,long,3,The woman carried the birth and school records of the three young children in August.
28,0,shifted,np,short,2,The manager presented at noon the styles.
30,21,shifted,nps,short,2,Jessica reported last summer the news.
1,7,shifted,np,short,2,Donald relinquished with joy some drafts.
2,23,shifted,np,short,2,Raymond addressed very loudly a memo.
3,18,unshifted,np,short,2,Shelly carried notes in May.
36,22,unshifted,nps,short,5,Steven communicated a letter during break.
4,13,unshifted,nps,long,4,The editor acknowledged the first drafts of a long article and book review at supper.
6,10,unshifted,np,long,5,Alex described each of the key points of conflict in an interview in detail.
7,29,shifted,np,short,1,Mike recited last year the words.
9,3,shifted,nps,long,4,Mark mentioned very quickly the flyers for some lectures and slide shows on campus.
10,1,unshifted,nps,long,3,The contractor exhibited the plans for a lagoon and waterfall with red clay in July.
11,1,shifted,nps,long,4,The contractor exhibited in July the plans for a lagoon and waterfall with red clay.
12,31,shifted,np,long,4,Jason forfeited with glee all of the winnings for the past seven horse races.
13,13,unshifted,np,long,5,The editor distributed the first drafts of a long article and book review at supper.
14,27,unshifted,np,short,4,Bobby transferred the deeds at dusk.
31,22,unshifted,nps,short,1,Steven communicated a letter during break.
37,15,unshifted,nps,long,4,The teacher announced some hard math concepts for the one hundred point final with care.
15,14,shifted,np,long,3,The president introduced on Monday the new vice chair of the first corporate finance group.
32,7,shifted,nps,short,4,Donald proposed with joy some drafts.
16,22,shifted,nps,short,1,Steven communicated during break a letter.
17,16,shifted,nps,short,1,Judy suggested in March a dress.
