,animacy,order,length,item,verb,particle,WorkerId,acceptability
1,inanim,shifted,long,4_low_inanim,force,back,1,4
2,inanim,shifted,short,20_high_inanim,divvy,up,2,5
3,inanim,unshifted,short,5_high_inanim,squirrel,away,3,4
4,anim,shifted,short,10_high_anim,rein,in,4,4
5,anim,unshifted,long,8_high_anim,bog,down,5,1
6,inanim,unshifted,long,10_low_inanim,have,on,6,2
7,inanim,shifted,short,15_high_inanim,pass,on,7,5
8,anim,shifted,short,14_high_anim,egg,on,8,3
9,inanim,shifted,short,7_high_inanim,scale,back,9,5
10,anim,shifted,short,14_high_anim,egg,on,10,4
11,inanim,shifted,long,4_low_inanim,force,back,11,4
12,inanim,shifted,long,16_high_inanim,flesh,out,12,5
13,inanim,unshifted,long,15_high_inanim,pass,on,13,4
14,inanim,shifted,short,9_high_inanim,wolf,down,14,4
15,inanim,unshifted,long,14_high_inanim,stave,off,15,1
16,inanim,unshifted,short,3_low_inanim,wish,away,16,3
17,inanim,shifted,long,20_high_inanim,divvy,up,17,5
18,inanim,shifted,short,13_high_inanim,factor,in,18,5
19,inanim,unshifted,long,10_low_inanim,have,on,19,5
20,inanim,unshifted,long,16_high_inanim,flesh,out,20,2
21,inanim,shifted,short,20_high_inanim,divvy,up,21,5
22,inanim,shifted,short,4_low_inanim,force,back,22,5
23,inanim,shifted,long,20_high_inanim,divvy,up,23,5
24,inanim,unshifted,short,14_low_inanim,buy,up,24,3
25,anim,shifted,short,5_high_anim,scare,away,25,5
26,inanim,unshifted,short,11_low_inanim,deal,out,26,5
27,anim,unshifted,short,18_high_anim,pep,up,27,4
28,inanim,unshifted,long,7_high_inanim,scale,back,28,4
29,inanim,unshifted,long,13_high_inanim,factor,in,29,2
30,inanim,shifted,short,14_high_inanim,stave,off,30,4
31,inanim,shifted,long,7_high_inanim,scale,back,31,5
32,inanim,shifted,long,10_low_inanim,have,on,32,5
33,anim,shifted,long,14_high_anim,egg,on,33,5
34,inanim,unshifted,long,13_high_inanim,factor,in,34,2
35,anim,unshifted,short,8_high_anim,bog,down,35,5
36,inanim,unshifted,long,16_high_inanim,flesh,out,36,5
37,inanim,unshifted,long,15_high_inanim,pass,on,37,2
38,inanim,unshifted,short,5_high_inanim,squirrel,away,38,4
39,inanim,unshifted,short,7_high_inanim,scale,back,39,5
40,inanim,shifted,long,9_low_inanim,read,off,40,5
41,inanim,unshifted,long,13_high_inanim,factor,in,41,4
42,inanim,shifted,long,20_high_inanim,divvy,up,42,4
43,inanim,shifted,short,14_high_inanim,stave,off,43,4
44,inanim,unshifted,short,15_high_inanim,pass,on,44,5
45,inanim,shifted,long,9_low_inanim,read,off,45,5
46,inanim,unshifted,long,20_high_inanim,divvy,up,46,4
47,inanim,unshifted,long,14_high_inanim,stave,off,47,2
48,inanim,shifted,long,5_low_inanim,argue,down,48,5
49,inanim,unshifted,long,10_low_inanim,have,on,49,4
50,anim,shifted,short,13_high_anim,rip,off,50,4
51,inanim,shifted,long,20_high_inanim,divvy,up,51,5
52,inanim,unshifted,short,4_low_inanim,force,back,52,1
53,inanim,shifted,long,3_low_inanim,wish,away,53,2
54,inanim,unshifted,short,4_low_inanim,force,back,54,2
55,inanim,shifted,long,10_low_inanim,have,on,55,4
56,inanim,unshifted,short,7_low_inanim,move,in,56,3
57,inanim,unshifted,short,5_high_inanim,squirrel,away,57,5
58,inanim,unshifted,short,16_high_inanim,flesh,out,58,5
59,inanim,shifted,long,3_low_inanim,wish,away,59,3
60,inanim,shifted,short,14_high_inanim,stave,off,60,5
61,inanim,unshifted,short,7_high_inanim,scale,back,61,4
62,anim,unshifted,long,15_high_anim,bail,out,62,2
63,inanim,unshifted,long,13_high_inanim,factor,in,63,3
64,inanim,unshifted,long,7_low_inanim,move,in,64,3
65,inanim,shifted,short,9_low_inanim,read,off,65,5
66,inanim,shifted,short,20_high_inanim,divvy,up,66,5
67,inanim,unshifted,short,5_high_inanim,squirrel,away,67,3
68,inanim,shifted,long,15_high_inanim,pass,on,68,4
69,inanim,shifted,short,3_low_inanim,wish,away,69,4
70,inanim,unshifted,long,16_high_inanim,flesh,out,70,5
71,inanim,shifted,short,16_high_inanim,flesh,out,71,4
72,inanim,shifted,long,20_high_inanim,divvy,up,72,5
73,inanim,unshifted,short,5_high_inanim,squirrel,away,73,4
74,inanim,unshifted,long,20_high_inanim,divvy,up,74,4
75,inanim,unshifted,long,7_high_inanim,scale,back,75,4
76,inanim,unshifted,short,3_low_inanim,wish,away,76,3
77,inanim,shifted,long,9_high_inanim,wolf,down,77,4
78,inanim,shifted,short,14_low_inanim,buy,up,78,5
79,inanim,shifted,long,9_low_inanim,read,off,79,5
80,inanim,shifted,short,10_low_inanim,have,on,80,5
81,inanim,shifted,short,20_high_inanim,divvy,up,81,5
82,inanim,shifted,long,7_high_inanim,scale,back,82,4
83,inanim,shifted,long,9_low_inanim,read,off,83,5
84,inanim,unshifted,long,9_low_inanim,read,off,84,2
85,inanim,unshifted,short,4_low_inanim,force,back,85,4
86,inanim,shifted,short,11_low_inanim,deal,out,86,4
87,anim,shifted,long,14_high_anim,egg,on,87,5
